SG_UF_PROVA	NU_NOTA_CN_mean	NU_NOTA_CN_std	NU_NOTA_CN_var	NU_NOTA_CH_mean	NU_NOTA_CH_std	NU_NOTA_CH_var	NU_NOTA_LC_mean	NU_NOTA_LC_std	NU_NOTA_LC_var	NU_NOTA_MT_mean	NU_NOTA_MT_std	NU_NOTA_MT_var	NU_NOTA_REDACAO_mean	NU_NOTA_REDACAO_std	NU_NOTA_REDACAO_var	NOTA_MEDIA_mean	NOTA_MEDIA_std	NOTA_MEDIA_var	PROP_SEM_RENDA	RENDA_mean	RENDA_std	RENDA_var
AC	477,84	64,30	4.134,24	485,55	81,78	6.688,73	506,67	63,18	3.991,60	496,72	93,60	8.761,37	603,66	202,98	41.199,73	514,09	78,50	6.162,27	0,12	2.723,15	4.791,16	22.955.167,41
AL	472,98	76,28	5.818,55	488,50	92,57	8.569,61	505,26	73,15	5.351,06	501,47	107,72	11.604,00	587,36	237,82	56.557,65	511,11	95,25	9.072,78	0,16	2.086,24	4.319,99	18.662.297,81
AM	469,49	66,54	4.427,89	484,24	86,44	7.472,61	500,03	72,00	5.184,16	480,48	87,99	7.741,47	565,30	204,95	42.002,49	499,91	79,60	6.335,88	0,15	1.787,22	3.664,23	13.426.571,61
AP	474,88	68,36	4.673,23	490,03	89,84	8.071,75	508,67	66,37	4.405,16	473,30	94,75	8.978,43	578,57	222,19	49.367,30	505,09	86,28	7.444,14	0,13	2.217,72	4.220,04	17.808.773,88
BA	479,61	73,76	5.440,39	496,43	91,56	8.383,16	512,51	67,57	4.566,06	499,44	102,03	10.409,22	602,95	221,35	48.995,72	518,19	88,84	7.891,98	0,16	1.877,50	3.823,36	14.618.066,27
CE	485,65	79,15	6.264,92	504,93	96,12	9.238,88	517,23	72,08	5.196,04	529,32	117,16	13.727,63	632,07	236,50	55.933,42	533,84	98,85	9.771,67	0,12	2.038,45	4.222,57	17.830.110,92
DF	518,31	81,40	6.625,80	536,61	96,96	9.401,04	547,99	68,97	4.757,28	556,97	121,06	14.655,41	668,98	184,09	33.887,37	565,77	90,16	8.129,38	0,05	5.464,06	8.208,70	67.382.835,69
ES	513,12	80,86	6.537,58	534,51	82,76	6.848,56	541,12	60,78	3.693,75	554,77	115,69	13.383,88	666,56	218,71	47.833,56	562,01	91,22	8.321,92	0,04	3.387,61	5.041,81	25.419.830,80
GO	493,95	78,40	6.146,89	514,70	89,80	8.063,88	524,46	68,80	4.733,14	528,35	114,13	13.025,38	663,17	205,71	42.315,42	544,92	91,41	8.355,78	0,05	3.330,34	5.411,52	29.284.576,72
MA	465,87	68,76	4.728,51	476,27	91,29	8.333,42	494,44	68,97	4.756,92	486,67	94,24	8.881,16	589,53	235,72	55.565,23	502,56	88,68	7.863,98	0,17	1.613,45	3.023,94	9.144.214,51
MG	508,51	81,96	6.718,13	533,26	90,22	8.139,21	539,76	66,66	4.443,34	551,80	120,93	14.623,53	673,81	191,91	36.828,24	561,43	90,96	8.273,21	0,05	3.601,19	5.491,26	30.153.888,46
MS	497,40	80,15	6.424,22	510,48	92,05	8.472,67	524,42	66,52	4.425,41	526,34	117,48	13.801,01	622,63	189,61	35.951,63	536,25	90,84	8.252,34	0,05	3.635,32	5.879,07	34.563.520,07
